,glucose
0,0.22159072876948133
1,0.4238561741108356
2,0.45148191762925893
3,0.35493812375448863
4,0.32553919951791704
5,0.09271998384204248
6,0.059140895111978876
7,0.03144682140929914
8,0.06068678013737359
9,0.06669154776557276
10,0.20579894931638718
11,0.2653365190707516
12,0.3006573103499739
13,0.1635937433424759
14,0.13140128431457754
15,0.053026110272806654
16,0.050369635255754136
17,0.03586532527596929
18,0.0912828368960274
19,0.11340115292408975
20,0.07130037393534527
21,0.09150768843796624
22,0.15030875617444808
23,0.14608858527882962
24,0.08291591175377885
25,0.25529413456162214
26,0.22106275824695348
27,0.09222333346644102
28,0.12359590398321665
29,0.15899303127375233
30,0.31240325092732385
31,0.4105685471307998
32,0.2941381033486489
33,0.34394239169435864
34,0.23036195025327894
35,0.3314159389721149
36,0.3827545731467844
37,0.3497252281758275
38,0.31494772248876984
39,0.39606918934303975
40,0.26355854511458937
41,0.34330059656157325
42,0.4244114804974024
43,0.3460987727835445
44,0.45171522977634293
45,0.3710048827998085
46,0.3285852647247636
47,0.3255524696528578
48,0.27840315376655994
49,0.3817952337036055
50,0.379568212935868
51,0.23763615911059074
52,0.3565066706662715
53,0.3216230662711324
54,0.3176093255426448
55,0.19496399383987043
56,0.29114850648234286
57,0.21558461033152235
58,0.14841962008601767
59,0.1566687416011246
60,0.059471618446840645
61,0.16325462004729738
62,0.03604390044946438
63,0.034098364140170326
64,0.0
65,0.08136282255411863
66,0.0
67,0.06393075860892895
68,0.0
69,0.05079147298921325
70,0.0
71,0.042017677835142285
72,0.01701483396293379
73,0.01625736289893212
74,0.023044732066877422
75,0.0
76,0.0
77,0.13734929493478765
78,0.355805225106963
79,0.47168866338268434
80,0.5165452687493293
81,0.7624835646724333
82,0.7740399444874279
83,0.7072751993835724
84,0.8427030506366913
85,0.9886261918343877
86,0.8564147678160596
87,0.8660484716614453
88,0.9532287328602033
89,0.9928147923502594
90,0.9919542440156116
91,0.9671697902053508
92,0.9842281649806731
93,0.9762267101645558
94,0.8073350583211076
95,0.7178140028078936
96,0.815632015622278
97,0.6818557350141548
98,0.6297371885517079
99,0.7620240757130268
100,0.8280107322056331
101,0.8815763789153719
