,glucose
0,0.06952352683617075
1,0.0
2,0.0
3,0.03103230689234256
4,0.04156630592335838
5,0.0
6,0.0
7,0.0
8,0.04229517253030107
9,0.0
10,0.0
11,0.11412157461150857
12,0.00980756146361868
13,0.09438832881438665
14,0.0
15,0.08043418754349202
16,0.005220445076672392
17,0.0
18,0.08794305530315749
19,0.0
20,0.015412854735523888
21,0.02596435194291968
22,0.0
23,0.0950379167570192
24,0.06443589349181428
25,0.0
26,0.0
27,0.06783469957167099
28,0.0
29,0.022569991172402087
30,0.05218288153063372
31,0.0688842928890823
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.05178255714148906
38,0.0
39,0.0
40,0.0
41,0.01774547598361246
42,0.11877283509691537
43,0.008764080899590245
44,0.0
45,0.08555933416587573
46,0.030301252962052487
47,0.022136739572167136
48,0.0
49,0.0
50,0.0673998375601289
51,0.03231721080316083
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.053867126653142944
58,0.0
59,0.0
60,0.0
61,0.018089526511578583
62,0.0
63,0.04962406073984507
64,0.020856371872288837
65,0.038564588632388944
66,0.0
67,0.0
68,0.015425996231991042
69,0.0
70,0.0
71,0.03195822218219728
72,0.008532840470952567
73,0.054503357499281126
74,0.044436985659307315
75,0.06312619001169303
76,0.0
77,0.0
78,0.027741722087801395
79,0.013831477807746293
80,0.09139955123278509
81,0.0
82,0.04265765125800447
83,0.07964171100671966
84,0.0
85,0.07027537696535224
86,0.0
87,0.021409116103955832
88,0.0
89,0.0
90,0.022442952803437905
91,0.01756762629570195
92,0.0
93,0.024753651802681405
94,0.08392349707581714
95,0.0
96,0.025211955466813693
97,0.0
98,0.0
99,0.03193699358700077
100,0.07412598997272118
101,0.0
102,0.04968779764406608
103,0.0862252661173172
104,0.04615737318056373
105,0.0
106,0.0
107,0.01743088498854988
108,0.0
109,0.010212742380236253
110,0.04415403731453391
111,0.032000974846113875
112,0.0
113,0.04006871478294782
114,0.041595279144354805
115,0.09024418284524252
116,0.0
117,0.0
118,0.015165263632693483
119,0.0
120,0.0
121,0.007375334971479037
122,0.05185586501791955
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.12022100369564277
129,0.05099314938369914
130,0.0
131,0.013748245377570476
132,0.028620277077703496
133,0.011747387046699144
134,0.0
135,0.00318540582563637
136,0.013858747395287384
137,0.0
138,0.0
139,0.0
140,0.10154036278103246
141,0.11088005511244764
142,0.0277229553142289
143,0.0
144,0.03393906890528555
145,0.026894652894032468
146,0.0
147,0.0
148,0.0
149,0.02531477771690209
150,0.06524244942368215
151,0.13360304459727712
152,0.0
153,0.0
154,0.019562037014391815
155,0.0
156,0.04995566431786721
157,0.009100950443579564
158,0.021151937650480127
159,0.0
160,0.0
161,0.0028552157940129217
162,0.0
163,0.12625134148583114
164,0.0
165,0.023664604274497264
166,0.024703868784704982
167,0.02133431848176735
168,0.0
169,0.014261760722062568
170,0.014102088300678522
171,0.0
172,0.0
173,0.09151401023586297
174,0.05845331781082506
175,0.0031997162313820767
176,0.024337835318998552
177,0.0
178,0.0
179,0.02022160834883313
180,0.06075760098678732
181,0.0
182,0.028675354812509785
183,0.02931926438711745
184,0.0
185,0.0
186,0.02530427567096033
187,0.012085926497255487
188,0.022118092096135467
189,0.04874431384430173
190,0.035935526266960706
191,0.002857176436948777
192,0.0
193,0.050370476261498355
194,0.0490813952429298
195,0.0
196,0.03207105391284421
197,0.08979895275971639
198,0.060238678356532564
199,0.0
200,0.0
201,0.0
202,0.008902731428885154
203,0.0
204,0.04897264745887586
205,0.0
206,0.038806326437665184
207,0.0
208,0.0
209,0.028271952107958943
210,0.0
211,0.025707467043878635
212,0.0
213,0.0
214,0.038513346865943945
215,0.0
216,0.008008773151001514
217,0.0
218,0.0
219,0.0
220,0.0
221,0.003144151903242281
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.03865743597751604
229,0.03741469946979879
230,0.08763160596331612
231,0.0
232,0.07587477050574522
233,0.0
234,0.068444108754024
235,0.0
236,0.09577673118817383
237,0.0
238,0.04703340097763381
239,0.05205835723077763
240,0.0
241,0.0
242,0.0
243,0.0529531080474519
244,0.02069598540741139
245,0.039653074662415064
246,0.0
247,0.009762820023757173
248,0.010286514787372632
249,0.06031502163148908
250,0.0
251,0.0
252,0.024225726607129305
253,0.0
254,0.0
255,0.0
256,0.04557673441367499
257,0.0
258,0.0
259,0.0
260,0.0
261,0.11636116735103762
262,0.0
263,0.024341749317684357
264,0.016015712557794402
265,0.0
266,0.07048415540827561
267,0.0
268,0.0
269,0.05020234807110026
270,0.0
271,0.06422605314170396
272,0.0
273,0.06403293768595693
274,0.0
275,0.0
276,0.0
277,0.04335358333488224
278,0.06327167744554515
279,0.03816533331888173
280,0.03552605270519685
281,0.0
282,0.07623121179873849
283,0.04710148142172691
284,0.0
285,0.0
286,0.0
287,0.03548142425777487
288,0.0
289,0.0
290,0.004619544453733591
291,0.0
292,0.06465468599520609
293,0.033449933589762594
294,0.03365879316619286
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.04293452128054059
303,0.07632664849360099
304,0.0
305,0.02555256437736221
306,0.0
307,0.0
308,0.0
309,0.016998653316249872
310,0.05995149919520531
311,0.0
312,0.09982748563939675
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.013301100308813363
319,0.0
320,0.04906104947419245
321,0.05129092510053808
322,0.0
323,0.0
324,0.0313374338339449
325,0.03566246221841642
326,0.027024760091583156
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.05402778797089264
334,0.0
335,0.0
336,0.0
337,0.009817262776092878
338,0.0
339,0.0
340,0.0
341,0.10019697366707224
342,0.0
343,0.09146949758055795
344,0.14620823327469493
345,0.05401442750350556
346,0.048835460630445665
347,0.05175967229145603
348,0.012449321593580032
349,0.0
350,0.0019591256130602
351,0.0
352,0.09939090180165648
353,0.0644184997144494
354,0.02968559560667172
355,0.016664470844455274
356,0.0
357,0.0
358,0.03599033998845421
359,0.0
360,0.0835857750232876
361,0.029833602111885623
362,0.007938936025758398
363,0.1059329419275556
364,0.04548006203765607
365,0.0
366,0.0
367,0.03213544629119972
368,0.040981904553531893
369,0.0
370,0.0
371,0.0
372,0.009864795975981937
373,0.0
374,0.0
375,0.031208017885013428
376,0.06781634673750589
377,0.013961478777130755
378,0.04677274369047285
379,0.0093525861124754
380,0.0
381,0.013621279167261094
382,0.0
383,0.0010495297962741024
384,0.0794243544126948
385,0.000325201621370294
386,0.0876576650826165
387,0.0025249017736777048
388,0.0
389,0.005165454477113247
390,0.0
391,0.027381982030407884
392,0.0
393,0.0
394,0.014705735898321654
395,0.0
396,0.08122579178618054
397,0.07528892516616541
398,0.007397010323053336
399,0.016408611951704014
400,0.1125564543203068
401,0.0
402,0.0
403,0.0
404,0.08584229472988716
405,0.021579212098191206
406,0.012711423610018363
407,0.011498955408168062
408,0.06013140776959748
409,0.1056483266004845
410,0.0
411,0.056191659864809965
412,0.05036549598242447
413,0.018791033420466875
414,0.023552020854563316
415,0.0
416,0.12913752130256478
417,0.0
418,0.0
419,0.001268694541553917
420,0.0
421,0.001939201934714334
422,0.13438450856367112
423,0.0
424,0.0
425,0.03925040037260365
426,0.0
427,0.0
428,0.07125365737912463
429,0.0022114438975916573
430,0.0363668404925132
431,0.0424901851882241
432,0.014850316113280748
433,0.027010344463469744
434,0.06557174254406667
435,0.0
436,0.0646904794699149
437,0.0
438,0.0
439,0.03466509614564534
440,0.0
441,0.0
442,0.02057535431067513
443,0.024454300161498674
444,0.0
445,0.0
446,0.03349617316633592
447,0.051235185511438
448,0.0
449,0.0
450,0.02122816379666166
451,0.0
452,0.014080945502476246
453,0.030630682292054786
454,0.07530101352544503
455,0.007623051232213774
456,0.0
457,0.02180426699823846
458,0.06251894321541958
459,0.0
460,0.030676407620795227
461,0.0013481140281093459
462,0.010370672280970852
463,0.006700764972110852
464,0.0
465,0.0
466,0.0
467,0.0015324334247671858
468,0.0
469,0.02449462707124265
470,0.011664958943411451
471,0.030350410339581503
472,0.0
473,0.0
474,0.07923158674945957
475,0.0
476,0.04869109830978533
477,0.0
478,0.0
479,0.03476062669280618
480,0.014847419691390541
481,0.0
482,0.0
483,0.0
484,0.029861385253847197
485,0.0
486,0.009790963032548956
487,0.0
488,0.006789154025797614
489,0.03228904192555267
490,0.045856386221565064
491,0.0
492,0.005545645652426499
493,0.0
494,0.03352079890737656
495,0.0
496,0.0
497,0.03521539000677273
498,0.0
499,0.04667235470020005
500,0.0
501,0.06180548187135853
502,0.058963205515653705
503,0.06511754668065088
504,0.0
505,0.0
506,0.017887904191038563
507,0.022489832218299123
508,0.0
509,0.102676652166313
510,0.0157378671674898
511,0.011999706444248106
512,0.0
513,0.008476906287038143
514,0.0
515,0.0
516,0.03028779192805885
517,0.06663302675335732
518,0.005176322974660166
519,0.0
520,0.0
521,0.0
522,0.0
523,0.026465985152805013
524,0.0028358462506222967
525,0.0
526,0.03003368726411118
527,0.03346887099693304
528,0.04225682730226399
529,0.0
530,0.034132931070869614
531,0.0
532,0.0
533,0.06909264007384125
534,0.0
535,0.00859679508303819
536,0.10328291454250776
537,0.025419980170268648
538,0.0
539,0.0
540,0.0
541,0.10196232637823882
542,0.07557350614056334
543,0.013785171328481033
544,0.022712063049442337
545,0.0
546,0.1224381515579182
547,0.017270094138712982
548,0.0
549,0.045588851846670636
550,0.03583764509251731
551,0.02433891031099679
552,0.12276160178228679
553,0.25441827890830915
554,0.3428927071087736
555,0.23894947306844583
556,0.3858335863244289
557,0.2955344845497574
558,0.3261721916071712
559,0.6172839324183278
560,0.44937266011786386
561,0.5562924115025661
562,0.4865653993023015
563,0.5343691907375762
564,0.5456279337250501
565,0.6765895803894966
566,0.6966097577043833
567,0.7137719068677124
568,0.7794167049494005
569,0.7861012436477279
570,0.6565792225005286
571,0.8931677646237954
572,0.7914752048751124
573,0.8754590137191021
574,0.8820976149382893
575,0.8601303550783134
576,1.0
577,0.891619976685515
578,0.9655837425292023
579,0.8997938268053777
580,0.8444064856820185
581,0.9254930926045757
582,0.9173467212953866
583,0.9318560742127874
584,0.9367687451594963
585,0.9216873696195269
586,0.9563599774154387
587,1.0
588,0.9351180350693248
589,1.0
590,1.0
591,0.9988367776666949
592,1.0
593,0.9415226786700752
594,0.9607946733638457
595,0.9695444189545568
596,0.8473913599967928
597,0.9382785092924659
598,0.9218214473490997
599,0.7826469021821785
600,0.9002763638859875
601,0.8078761831478205
602,0.8388316260480493
603,0.7944652516935857
604,0.7858064362121233
605,0.48127130795410983
606,0.45510431001903284
607,0.3592529958757082
608,0.12434187345319812
609,0.03025225522550765
610,0.03543075030837011
611,0.04829071186438598
612,0.015810272087897117
613,0.05512358886456412
614,0.019242205725006137
615,0.010441842481375526
616,0.04936746962064937
617,0.09703061757683039
618,0.0
619,0.05074942399646469
620,0.0
621,0.0
622,0.03260837715216767
623,0.03692473802116457
624,0.009335426646270076
625,0.0
626,0.0
627,0.0
628,0.09599234838975831
629,0.009522961507051743
630,0.03815237044520032
631,0.049023616458530865
632,0.0
633,1.0220440602449511e-05
634,0.0
635,0.0
636,0.0
637,0.05369246838133365
638,0.0
639,0.0
640,0.0
641,0.0
642,0.00871137597580632
643,0.0
644,0.017795757964522645
645,0.0
646,0.0
647,0.014273900915781318
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.08050015707516217
654,0.0
655,0.0
656,0.03140147888045786
657,0.07209665484996403
658,0.029207504955558763
659,0.0
660,0.0
661,0.0
662,0.0
663,0.02798318929747753
664,0.038701713608073854
665,0.009282297452901022
666,0.0
667,0.046051985427333936
668,0.02588884106307112
669,0.11720318564857873
670,0.02713753993859713
671,0.0
672,0.06646996074660642
673,0.0664016422089354
674,0.06646909100350105
675,0.07357143142063104
676,0.0
677,0.020354621504375905
678,0.022296461269476438
679,0.024212620088390917
680,0.031570117373255054
681,0.0
682,0.0
683,0.030794052146386114
684,0.0
685,0.0
686,0.0398530457008884
687,0.026202583510789502
688,0.01434684791427021
689,0.0
690,0.0
691,0.05075611847220125
692,0.0
693,0.024086367105752755
694,0.0
695,0.0
696,0.01490928138028033
697,0.057258881057747034
698,0.014367505470863545
699,0.0
700,0.0
701,0.0
702,0.0370220673138136
703,0.0
704,0.03626523833000807
705,0.0
706,0.01385594287067152
707,0.056259088687110985
708,0.0
709,0.0
710,0.0
711,0.0
712,0.01726693773609071
713,0.0
714,0.0
715,0.024263734726865268
716,0.022786325478855746
717,0.015026974881119981
718,0.0
719,0.0
720,0.08003261913589917
721,0.0
722,0.0
723,0.0
724,0.057575817409396525
725,0.03428173640425727
726,0.0
727,0.07037255684285726
728,0.05825053620218597
729,0.08180952141708091
730,0.0
731,0.03073412888562822
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0073478701731674746
738,0.0
739,0.06265664705451485
740,0.0
741,0.0
742,0.10562737516182477
743,0.03576635536398022
744,0.008076357858679634
745,0.011041718045522415
746,0.0
747,0.0
748,0.040225198536160106
749,0.10736363260785424
750,0.003725376788877913
751,0.0
752,0.0
753,0.0
754,0.025056114176345762
755,0.07268221611527864
756,0.0
757,0.0
758,0.08357012659599583
759,0.032858191751569316
760,0.019559215214465103
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.002117784619480585
767,0.0
768,0.0
769,0.0
770,0.04087215072847819
771,0.0
772,0.022581974138350655
773,0.0
774,0.0
775,0.10332499465000074
776,0.0
777,0.112515540284021
778,0.0
779,0.0053437441031590725
780,0.0
781,0.04617551331175215
782,0.10688081372574088
783,0.0
784,0.023918694725431372
785,0.05045304771805703
786,0.0
787,0.023073786253477918
788,0.0
789,0.044718502303046324
790,0.0
791,0.005950144150741279
792,0.09120167386011946
793,0.0
794,0.0
795,0.0
796,0.03509267901106568
797,0.017602543159056832
798,0.043225350734343214
799,0.06572407486661222
800,0.0
801,0.06179495605379126
802,0.09932224019315675
803,0.03188690417358655
804,0.0
805,0.006812931778158774
806,0.018046508765780962
807,0.015968348286359246
808,0.0
809,0.0012483358702734338
810,0.050700506762713295
811,0.0
812,0.03891496147308039
813,0.038581754328660615
814,0.013226513296773185
815,0.0
816,0.0
817,0.0
818,0.017874256113676705
819,0.0
820,0.016623836933618796
821,0.0
822,0.026137467232774426
823,0.0
824,0.02109547200222576
825,0.013641080217787212
826,0.0
827,0.0
828,0.003946485576318553
829,0.06350075271274862
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.06428786882539089
836,0.0
837,0.052043583295383826
838,0.0
839,0.0
840,0.0
841,0.0
842,0.02191095477319374
843,0.035242335269430124
844,0.00699750849558244
845,0.0
846,0.0
847,0.0
848,0.07305930046385795
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.01999714093592295
856,0.019920250892410504
857,0.025303067022477244
858,0.01300822398027593
859,0.020167492916279988
860,0.025340272486340146
861,0.03462462581826691
862,0.0
863,0.06030456250950561
864,0.008963768657332238
865,0.0
866,0.0
